#Table: J/AJ/155/201/table8.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------------------------
SN                     |        MJD|    Phase|Filter|     mag|  e_mag|       Flux|       e_
SN2013bs               |56441.44940| 38.44940|WHIRCJ|18.96375|0.05364|   259.7171|  12.8201
SN2013bs               |56408.49228|  5.49228|WHIRCJ|16.74712|0.01200|  2000.5699|  22.1052
SN2013bs               |56403.46082|  0.46082|WHIRCJ|16.76254|0.01286|  1972.3511|  23.3677
SN2013bs               |56461.41814| 58.41814|WHIRCH|18.89789|0.06191|   275.9585|  15.7185
SN2013bs               |56457.44571| 54.44571|WHIRCH|19.08329|0.12021|   232.6396|  25.6530
SN2013bs               |56441.43318| 38.43318|WHIRCH|18.51243|0.05293|   393.5743|  19.1729
SN2013bs               |56435.46406| 32.46406|WHIRCH|18.02158|0.04304|   618.5421|  24.5078
SN2013bs               |56412.47950|  9.47950|WHIRCH|17.69737|0.02885|   833.7791|  22.1528
SN2013bs               |56408.48689|  5.48689|WHIRCH|16.62438|0.01463|  2239.9937|  30.1722
SN2013bs               |56403.44112|  0.44112|WHIRCH|16.86693|0.01446|  1791.5430|  23.8549
SN2013bs               |56461.44315| 58.44315|WHIRCJ|21.01270|0.27460|    39.3479|   9.7447
SN2013bt               |56412.42546|  4.42546|WHIRCJ|17.55214|0.02276|   953.1097|  19.9802
SN2013bt               |56436.38252| 28.38252|WHIRCJ|18.73328|0.05757|   321.1367|  17.0117
SN2013bt               |56403.40590| -4.59410|WHIRCH|17.75819|0.02989|   788.3565|  21.7001
SN2013bt               |56408.45670|  0.45670|WHIRCH|17.49899|0.02014|  1000.9329|  18.5615
SN2013bt               |56412.40951|  4.40951|WHIRCH|17.76281|0.02788|   785.0121|  20.1564
SN2013bt               |56432.30787| 24.30787|WHIRCH|17.59589|0.02087|   915.4710|  17.5974
SN2013bt               |56436.35763| 28.35763|WHIRCH|18.00003|0.03991|   630.9377|  23.1831
SN2013bt               |56408.44833|  0.44833|WHIRCJ|17.27991|0.01656|  1224.7126|  18.6828
SN2013bt               |56432.33212| 24.33212|WHIRCJ|18.19832|0.02412|   525.6201|  11.6748
SN2013bt               |56403.42458| -4.57542|WHIRCJ|17.58586|0.02237|   923.9693|  19.0378
SN2013cs               |56441.15469|  5.15469|WHIRCH|14.71889|0.01570| 12955.2055| 187.2833
SN2013cs               |56457.15867| 21.15867|WHIRCH|14.57409|0.01564| 14803.4860| 213.2374
SN2013cs               |56461.15182| 25.15182|WHIRCH|14.50506|0.01564| 15775.2935| 227.2892
SN2013cs               |56436.15128|  0.15128|WHIRCJ|14.28690|0.01597| 19285.8728| 283.7246
SN2013cs               |56441.16450|  5.16450|WHIRCJ|14.62909|0.01612| 14072.2078| 208.9566
SN2013cs               |56457.16921| 21.16921|WHIRCJ|15.83277|0.01666|  4644.0032|  71.2681
SN2013cs               |56461.16252| 25.16252|WHIRCJ|15.62282|0.01664|  5634.6998|  86.3731
SN2013cs               |56436.16145|  0.16145|WHIRCH|14.56148|0.01562| 14976.3730| 215.4565
SN2013fn               |56581.10267|  9.10267|WHIRCH|17.52947|0.02097|   973.2240|  18.7976
SN2013fn               |56586.05958| 14.05958|WHIRCH|17.47423|0.02401|  1024.0205|  22.6391
SN2013fn               |56608.05876| 36.05876|WHIRCH|17.51843|0.02718|   983.1658|  24.6066
SN2013fn               |56581.11308|  9.11308|WHIRCJ|17.98581|0.02212|   639.2556|  13.0228
SN2013fn               |56586.06894| 14.06894|WHIRCJ|18.46028|0.03267|   412.9421|  12.4225
SN2013fn               |56608.07328| 36.07328|WHIRCJ|17.99965|0.03069|   631.1582|  17.8366
SN2013fn               |56581.12161|  9.12161|WHIRCK|17.11799|0.03851|  1421.6874|  50.4095
SN2013fn               |56586.07718| 14.07718|WHIRCK|17.18156|0.03487|  1340.8373|  43.0513
iPTF13dge              |56591.50141| 36.50141|WHIRCH|16.52956|0.01312|  2444.4147|  29.5352
iPTF13dge              |56586.50377| 31.50377|WHIRCH|16.00029|0.01186|  3979.9989|  43.4850
iPTF13dge              |56584.40566| 29.40566|WHIRCH|15.87628|0.01146|  4461.5861|  47.0733
iPTF13dge              |56608.46109| 53.46109|WHIRCH|17.66258|0.01806|   860.9338|  14.3213
iPTF13dge              |56563.49315|  8.49315|WHIRCH|16.56236|0.01296|  2371.6740|  28.3000
iPTF13dge              |56636.40312| 81.40312|WHIRCH|18.34840|0.05755|   457.7643|  24.2431
iPTF13dge              |56581.47155| 26.47155|WHIRCH|16.03264|0.01190|  3863.1807|  42.3400
iPTF13dge              |56640.33546| 85.33546|WHIRCH|18.93797|0.06199|   265.9562|  15.1686
iPTF13dge              |56581.47993| 26.47993|WHIRCJ|17.24511|0.01383|  1264.6121|  16.1025
iPTF13dge              |56640.37611| 85.37611|WHIRCK|18.61907|0.10671|   356.7577|  34.9522
iPTF13dge              |56636.43949| 81.43949|WHIRCK|18.94088|0.56826|   265.2452| 127.4000
iPTF13dge              |56563.50245|  8.50245|WHIRCJ|16.83884|0.01332|  1838.4976|  22.5552
iPTF13dge              |56586.52030| 31.52030|WHIRCK|16.12456|0.01883|  3549.5575|  61.5663
iPTF13dge              |56584.41948| 29.41948|WHIRCK|15.77992|0.01623|  4875.6274|  72.8552
iPTF13dge              |56581.48814| 26.48814|WHIRCK|16.00012|0.01717|  3980.6335|  62.9567
iPTF13dge              |56591.50969| 36.50969|WHIRCK|16.54262|0.02088|  2415.2024|  46.4452
iPTF13dge              |56636.41890| 81.41890|WHIRCJ|20.38050|0.17157|    70.4370|  11.0389
iPTF13dge              |56608.48582| 53.48582|WHIRCJ|19.27159|0.04326|   195.5981|   7.7894
iPTF13dge              |56591.52441| 36.52441|WHIRCJ|17.42516|0.01332|  1071.3620|  13.1428
iPTF13dge              |56586.51208| 31.51208|WHIRCJ|16.95876|0.01263|  1646.2577|  19.1422
iPTF13dge              |56640.35126| 85.35126|WHIRCJ|20.65380|0.19175|    54.7623|   9.5724
iPTF13dge              |56584.41120| 29.41120|WHIRCJ|16.84558|0.01234|  1827.1158|  20.7615
iPTF13dkl              |56563.36130|  7.36130|WHIRCH|18.56847|0.05115|   373.7778|  17.5948
iPTF13dkl              |56584.34696| 28.34696|WHIRCH|18.70421|0.04635|   329.8484|  14.0719
iPTF13dkl              |56563.36951|  7.36951|WHIRCJ|18.03202|0.02954|   612.6198|  16.6651
iPTF13dkl              |56584.36493| 28.36493|WHIRCJ|19.32750|0.07278|   185.7799|  12.4340
iPTF13dkx              |56581.24375| 20.24375|WHIRCJ|18.64006|0.02005|   349.9251|   6.4609
iPTF13dkx              |56585.34448| 24.34448|WHIRCH|17.54054|0.01941|   963.3520|  17.2241
iPTF13dkx              |56581.23899| 20.23899|WHIRCH|17.44612|0.01859|  1050.8792|  17.9887
iPTF13dkx              |56563.42330|  2.42330|WHIRCJ|17.16061|0.01971|  1366.9592|  24.8068
iPTF13dkx              |56608.16421| 47.16421|WHIRCJ|18.72205|0.02621|   324.4736|   7.8307
iPTF13dkx              |56563.41323|  2.41323|WHIRCH|17.38961|0.02056|  1107.0185|  20.9614
iPTF13dkx              |56608.15223| 47.15223|WHIRCH|17.97829|0.02146|   643.7012|  12.7196
iPTF13ebh              |56636.14241| 17.14241|WHIRCH|15.36282|0.03184|  7159.3150| 209.8877
iPTF13ebh              |56640.14095| 21.14095|WHIRCH|15.47487|0.01139|  6457.3185|  67.7338
iPTF13ebh              |56617.14329| -1.85671|WHIRCJ|15.40729|0.01294|  6871.9917|  81.8816
iPTF13ebh              |56636.15130| 17.15130|WHIRCJ|16.41932|0.04776|  2705.6447| 118.9459
iPTF13ebh              |56640.15049| 21.15049|WHIRCJ|16.22341|0.01276|  3240.6910|  38.0783
iPTF13ebh              |56617.15312| -1.84688|WHIRCK|15.39068|0.01739|  6977.9267| 111.7250
iPTF13ebh              |56636.16017| 17.16017|WHIRCK|15.48230|0.07114|  6413.2790| 419.6413
iPTF13ebh              |56640.15936| 21.15936|WHIRCK|15.45387|0.01509|  6583.4459|  91.4833
iPTF13ebh              |56617.13733| -1.86267|WHIRCH|15.47307|0.01356|  6468.0416|  80.7895
-------------------------------------------------------------------------------------------
